contrast,treatment,control,partition,space,paired_source_count,delta_rho_mean,delta_rho_ci_low,delta_rho_ci_high,delta_stress_mean,delta_stress_ci_low,delta_stress_ci_high,status
bottleneck_geo_effect,context_bottleneck_geo,context_bottleneck_no_geo,C1_trained,context,256,0.0024829754928270614,-0.010667483461058266,0.017441661349363702,-0.007950527701436765,-0.012552259559940895,-0.003383625006599656,development_not_qualified
bottleneck_geo_effect,context_bottleneck_geo,context_bottleneck_no_geo,C1_trained,route,256,0.021651546297451994,0.0013631535455620603,0.04267676202683833,-0.027017640955346325,-0.03473410920679226,-0.018905659700763897,development_not_qualified
bottleneck_geo_effect,context_bottleneck_geo,context_bottleneck_no_geo,C1_trained,synthesis,256,0.0005462546084219533,-0.0035140310662235014,0.005141000757898434,-0.00024057167907647265,-0.0007274720427128614,0.00026181678556901544,development_not_qualified
bottleneck_geo_effect,context_bottleneck_geo,context_bottleneck_no_geo,C2_interpolation,context,256,0.01639473093347227,-0.00869764585919135,0.040338873813332024,-0.015969537643812065,-0.02557367124638036,-0.007245631048684545,development_not_qualified
bottleneck_geo_effect,context_bottleneck_geo,context_bottleneck_no_geo,C2_interpolation,route,256,0.04568825752783816,0.009206967463558419,0.07801360384997483,-0.03253089351787117,-0.04522616234496329,-0.019686525210364944,development_not_qualified
bottleneck_geo_effect,context_bottleneck_geo,context_bottleneck_no_geo,C2_interpolation,synthesis,256,-0.0009643959372630738,-0.007480095988396724,0.005304177654946911,-0.0003598377994005086,-0.0009261813321946031,0.00021337282240999333,development_not_qualified
bottleneck_vs_standard,context_bottleneck_geo,standard_anchor_no_geo,C1_trained,context,256,0.05129827368180713,-0.00555751989682017,0.10608016198005063,-0.037473378850360964,-0.05678638403713482,-0.015129130601806293,development_not_qualified
bottleneck_vs_standard,context_bottleneck_geo,standard_anchor_no_geo,C1_trained,route,256,-0.03893305572752835,-0.08681785885057147,0.010727695616759283,-0.017184320735420883,-0.03834919207828905,0.005308307815985031,development_not_qualified
bottleneck_vs_standard,context_bottleneck_geo,standard_anchor_no_geo,C1_trained,synthesis,256,-0.008119329861544497,-0.019256095690747082,0.0030081248095599838,0.0032342690844804015,0.0016246940173181698,0.004999050297548759,development_not_qualified
bottleneck_vs_standard,context_bottleneck_geo,standard_anchor_no_geo,C2_interpolation,context,256,0.04134847581015432,-0.01665391234161171,0.1113304697451101,-0.04401664962409335,-0.0693913078418538,-0.019758133297463218,development_not_qualified
bottleneck_vs_standard,context_bottleneck_geo,standard_anchor_no_geo,C2_interpolation,route,256,-0.01627418144131438,-0.06958719434813872,0.03984462089548471,-0.022618358752689336,-0.04657987464943807,0.002402762493297848,development_not_qualified
bottleneck_vs_standard,context_bottleneck_geo,standard_anchor_no_geo,C2_interpolation,synthesis,256,-0.004701430194157482,-0.0191673692531036,0.011452201754999019,0.0004969642257394927,-0.0015757014399978648,0.0025381547829738766,development_not_qualified
sensory_geo_effect,sensory_bottleneck_geo,sensory_bottleneck_no_geo,C1_trained,context,256,0.0,0.0,0.0,0.0,0.0,0.0,development_not_qualified
sensory_geo_effect,sensory_bottleneck_geo,sensory_bottleneck_no_geo,C1_trained,route,256,0.0834528063139176,0.05723010213417098,0.11275191712927694,-0.04774542535676722,-0.058475396491469524,-0.03751494176822929,development_not_qualified
sensory_geo_effect,sensory_bottleneck_geo,sensory_bottleneck_no_geo,C1_trained,synthesis,256,-0.000670403383063305,-0.006084531445172715,0.005463787571965954,0.0007172005362198791,-4.412928106009211e-05,0.0014514472833425782,development_not_qualified
sensory_geo_effect,sensory_bottleneck_geo,sensory_bottleneck_no_geo,C2_interpolation,context,256,0.0,0.0,0.0,0.0,0.0,0.0,development_not_qualified
sensory_geo_effect,sensory_bottleneck_geo,sensory_bottleneck_no_geo,C2_interpolation,route,256,0.1404401583639352,0.09897113306162302,0.1828344010185592,-0.06930776590668952,-0.08191435049062502,-0.05665052512113644,development_not_qualified
sensory_geo_effect,sensory_bottleneck_geo,sensory_bottleneck_no_geo,C2_interpolation,synthesis,256,0.0025315393353155706,-0.008863401410908444,0.014535255016936892,-0.0002282097657752602,-0.0011098924851859124,0.0005841538649917369,development_not_qualified
context_vs_sensory_geo,context_bottleneck_geo,sensory_bottleneck_geo,C1_trained,context,256,0.1698355237093711,0.12055777133485202,0.22192090062240438,-0.05513637235404814,-0.07381708803843015,-0.0340644169249284,development_not_qualified
context_vs_sensory_geo,context_bottleneck_geo,sensory_bottleneck_geo,C1_trained,route,256,0.05306118628171435,0.011597357783122007,0.09835314224637279,-0.025197858166068142,-0.039825369346975725,-0.009527522281993031,development_not_qualified
context_vs_sensory_geo,context_bottleneck_geo,sensory_bottleneck_geo,C1_trained,synthesis,256,0.0023091672083291703,-0.004622058879897575,0.009113761546421736,0.0015113169173019492,0.0002823341166227551,0.0028400903059598187,development_not_qualified
context_vs_sensory_geo,context_bottleneck_geo,sensory_bottleneck_geo,C2_interpolation,context,256,0.10861509243425377,0.047418142740303794,0.16971258879717344,-0.03153790377919794,-0.05447363972129109,-0.01011274454923068,development_not_qualified
context_vs_sensory_geo,context_bottleneck_geo,sensory_bottleneck_geo,C2_interpolation,route,256,0.0723296952947306,0.01739830545568665,0.13040742687909526,-0.03437390097120153,-0.05622354542416181,-0.01424972941051657,development_not_qualified
context_vs_sensory_geo,context_bottleneck_geo,sensory_bottleneck_geo,C2_interpolation,synthesis,256,0.0021698908588419215,-0.007899005473645368,0.012302075674712094,0.0008704011849298334,-0.0005747946602756361,0.00231676254020688,development_not_qualified
bottleneck_vs_uniform,context_bottleneck_geo,uniform_static_anchor,C1_trained,context,256,0.1698355237093711,0.12055777133485202,0.22192090062240438,-0.05513637235404814,-0.07381708803843015,-0.0340644169249284,development_not_qualified
bottleneck_vs_uniform,context_bottleneck_geo,uniform_static_anchor,C1_trained,route,256,,,,-0.5338642016500946,-0.5478921812832105,-0.5176548957175187,development_not_qualified
bottleneck_vs_uniform,context_bottleneck_geo,uniform_static_anchor,C1_trained,synthesis,256,0.012390047709207043,0.004617092928911923,0.02095631315946041,-0.001441403354981921,-0.0023748427596597364,-0.00038928712420678645,development_not_qualified
bottleneck_vs_uniform,context_bottleneck_geo,uniform_static_anchor,C2_interpolation,context,256,0.10861509243425377,0.047418142740303794,0.16971258879717344,-0.03153790377919794,-0.05447363972129109,-0.01011274454923068,development_not_qualified
bottleneck_vs_uniform,context_bottleneck_geo,uniform_static_anchor,C2_interpolation,route,256,,,,-0.6044355891530523,-0.6233357107746477,-0.5846448766848192,development_not_qualified
bottleneck_vs_uniform,context_bottleneck_geo,uniform_static_anchor,C2_interpolation,synthesis,256,0.004580880701999605,-0.00532226007877059,0.013748669580606701,0.0007520532980359998,-0.0003312804451477317,0.001696337849263583,development_not_qualified
