model_seed,method,angle,host,mean_route_mass,host_specialization
2,r0_mlp,-75.0,0,0.5219900608062744,0.0052838921546936035
2,r0_mlp,-75.0,1,0.09937583655118942,0.007897377014160156
2,r0_mlp,-75.0,2,0.14742538332939148,0.004389643669128418
2,r0_mlp,-75.0,3,0.2312087118625641,0.0009865164756774902
2,r0_mlp,-60.0,0,0.5125223398208618,0.0052838921546936035
2,r0_mlp,-60.0,1,0.09431417286396027,0.007897377014160156
2,r0_mlp,-60.0,2,0.15298426151275635,0.004389643669128418
2,r0_mlp,-60.0,3,0.24017921090126038,0.0009865164756774902
2,r0_mlp,-45.0,0,0.4475517272949219,0.0052838921546936035
2,r0_mlp,-45.0,1,0.11085522174835205,0.007897377014160156
2,r0_mlp,-45.0,2,0.1817980408668518,0.004389643669128418
2,r0_mlp,-45.0,3,0.25979503989219666,0.0009865164756774902
2,r0_mlp,-30.0,0,0.38493093848228455,0.0052838921546936035
2,r0_mlp,-30.0,1,0.13136236369609833,0.007897377014160156
2,r0_mlp,-30.0,2,0.2085072547197342,0.004389643669128418
2,r0_mlp,-30.0,3,0.27519941329956055,0.0009865164756774902
2,r0_mlp,-15.0,0,0.34117263555526733,0.0052838921546936035
2,r0_mlp,-15.0,1,0.15144503116607666,0.007897377014160156
2,r0_mlp,-15.0,2,0.22624000906944275,0.004389643669128418
2,r0_mlp,-15.0,3,0.28114229440689087,0.0009865164756774902
2,r0_mlp,0.0,0,0.3256480097770691,0.0052838921546936035
2,r0_mlp,0.0,1,0.1658739298582077,0.007897377014160156
2,r0_mlp,0.0,2,0.23090140521526337,0.004389643669128418
2,r0_mlp,0.0,3,0.27757662534713745,0.0009865164756774902
2,r0_mlp,15.0,0,0.33964529633522034,0.0052838921546936035
2,r0_mlp,15.0,1,0.16951946914196014,0.007897377014160156
2,r0_mlp,15.0,2,0.22267773747444153,0.004389643669128418
2,r0_mlp,15.0,3,0.2681574523448944,0.0009865164756774902
2,r0_mlp,30.0,0,0.36500462889671326,0.0052838921546936035
2,r0_mlp,30.0,1,0.16898417472839355,0.007897377014160156
2,r0_mlp,30.0,2,0.2105543613433838,0.004389643669128418
2,r0_mlp,30.0,3,0.2554568350315094,0.0009865164756774902
2,r0_mlp,45.0,0,0.40035757422447205,0.0052838921546936035
2,r0_mlp,45.0,1,0.16030479967594147,0.007897377014160156
2,r0_mlp,45.0,2,0.1950090378522873,0.004389643669128418
2,r0_mlp,45.0,3,0.2443285882472992,0.0009865164756774902
2,r0_mlp,60.0,0,0.44436678290367126,0.0052838921546936035
2,r0_mlp,60.0,1,0.14226818084716797,0.007897377014160156
2,r0_mlp,60.0,2,0.17744159698486328,0.004389643669128418
2,r0_mlp,60.0,3,0.23592345416545868,0.0009865164756774902
2,r0_mlp,75.0,0,0.46404916048049927,0.0052838921546936035
2,r0_mlp,75.0,1,0.12798656523227692,0.007897377014160156
2,r0_mlp,75.0,2,0.17119264602661133,0.004389643669128418
2,r0_mlp,75.0,3,0.23677167296409607,0.0009865164756774902
2,r1_linear,-75.0,0,0.3627256155014038,0.0009521245956420898
2,r1_linear,-75.0,1,0.14677318930625916,0.00509035587310791
2,r1_linear,-75.0,2,0.16679564118385315,0.0027741193771362305
2,r1_linear,-75.0,3,0.3237055540084839,0.0031207799911499023
2,r1_linear,-60.0,0,0.3668026328086853,0.0009521245956420898
2,r1_linear,-60.0,1,0.15279698371887207,0.00509035587310791
2,r1_linear,-60.0,2,0.17610426247119904,0.0027741193771362305
2,r1_linear,-60.0,3,0.3042961359024048,0.0031207799911499023
2,r1_linear,-45.0,0,0.3507063686847687,0.0009521245956420898
2,r1_linear,-45.0,1,0.17505358159542084,0.00509035587310791
2,r1_linear,-45.0,2,0.20023667812347412,0.0027741193771362305
2,r1_linear,-45.0,3,0.27400341629981995,0.0031207799911499023
2,r1_linear,-30.0,0,0.3312702775001526,0.0009521245956420898
2,r1_linear,-30.0,1,0.20091943442821503,0.00509035587310791
2,r1_linear,-30.0,2,0.2216913253068924,0.0027741193771362305
2,r1_linear,-30.0,3,0.24611897766590118,0.0031207799911499023
2,r1_linear,-15.0,0,0.3106868267059326,0.0009521245956420898
2,r1_linear,-15.0,1,0.22202284634113312,0.00509035587310791
2,r1_linear,-15.0,2,0.2338470220565796,0.0027741193771362305
2,r1_linear,-15.0,3,0.23344330489635468,0.0031207799911499023
2,r1_linear,0.0,0,0.29831334948539734,0.0009521245956420898
2,r1_linear,0.0,1,0.23187322914600372,0.00509035587310791
2,r1_linear,0.0,2,0.23545268177986145,0.0027741193771362305
2,r1_linear,0.0,3,0.2343607395887375,0.0031207799911499023
2,r1_linear,15.0,0,0.3039410710334778,0.0009521245956420898
2,r1_linear,15.0,1,0.22691424190998077,0.00509035587310791
2,r1_linear,15.0,2,0.2253408432006836,0.0027741193771362305
2,r1_linear,15.0,3,0.24380382895469666,0.0031207799911499023
2,r1_linear,30.0,0,0.3106131851673126,0.0009521245956420898
2,r1_linear,30.0,1,0.2107829600572586,0.00509035587310791
2,r1_linear,30.0,2,0.2117079496383667,0.0027741193771362305
2,r1_linear,30.0,3,0.2668958604335785,0.0031207799911499023
2,r1_linear,45.0,0,0.32021158933639526,0.0009521245956420898
2,r1_linear,45.0,1,0.19011062383651733,0.00509035587310791
2,r1_linear,45.0,2,0.19639931619167328,0.0027741193771362305
2,r1_linear,45.0,3,0.29327845573425293,0.0031207799911499023
2,r1_linear,60.0,0,0.3307691216468811,0.0009521245956420898
2,r1_linear,60.0,1,0.16960933804512024,0.00509035587310791
2,r1_linear,60.0,2,0.18363918364048004,0.0027741193771362305
2,r1_linear,60.0,3,0.3159823715686798,0.0031207799911499023
2,r1_linear,75.0,0,0.3402163088321686,0.0009521245956420898
2,r1_linear,75.0,1,0.1581961065530777,0.00509035587310791
2,r1_linear,75.0,2,0.17849886417388916,0.0027741193771362305
2,r1_linear,75.0,3,0.32308870553970337,0.0031207799911499023
2,r2_prototype_energy,-75.0,0,0.10088254511356354,0.0372467041015625
2,r2_prototype_energy,-75.0,1,0.5517817735671997,0.04999196529388428
2,r2_prototype_energy,-75.0,2,0.23355264961719513,0.04207497835159302
2,r2_prototype_energy,-75.0,3,0.113783098757267,0.021703124046325684
2,r2_prototype_energy,-60.0,0,0.10584060102701187,0.0372467041015625
2,r2_prototype_energy,-60.0,1,0.42410793900489807,0.04999196529388428
2,r2_prototype_energy,-60.0,2,0.31637173891067505,0.04207497835159302
2,r2_prototype_energy,-60.0,3,0.15367969870567322,0.021703124046325684
2,r2_prototype_energy,-45.0,0,0.186849907040596,0.0372467041015625
2,r2_prototype_energy,-45.0,1,0.2584232687950134,0.04999196529388428
2,r2_prototype_energy,-45.0,2,0.36302247643470764,0.04207497835159302
2,r2_prototype_energy,-45.0,3,0.19170436263084412,0.021703124046325684
2,r2_prototype_energy,-30.0,0,0.27987489104270935,0.0372467041015625
2,r2_prototype_energy,-30.0,1,0.1492939442396164,0.04999196529388428
2,r2_prototype_energy,-30.0,2,0.33964452147483826,0.04207497835159302
2,r2_prototype_energy,-30.0,3,0.23118658363819122,0.021703124046325684
2,r2_prototype_energy,-15.0,0,0.35817909240722656,0.0372467041015625
2,r2_prototype_energy,-15.0,1,0.12695035338401794,0.04999196529388428
2,r2_prototype_energy,-15.0,2,0.2517249584197998,0.04207497835159302
2,r2_prototype_energy,-15.0,3,0.2631455957889557,0.021703124046325684
2,r2_prototype_energy,0.0,0,0.4163435995578766,0.0372467041015625
2,r2_prototype_energy,0.0,1,0.13693737983703613,0.04999196529388428
2,r2_prototype_energy,0.0,2,0.1651844084262848,0.04207497835159302
2,r2_prototype_energy,0.0,3,0.2815346121788025,0.021703124046325684
2,r2_prototype_energy,15.0,0,0.4183269441127777,0.0372467041015625
2,r2_prototype_energy,15.0,1,0.17630720138549805,0.04999196529388428
2,r2_prototype_energy,15.0,2,0.12426666170358658,0.04207497835159302
2,r2_prototype_energy,15.0,3,0.2810991704463959,0.021703124046325684
2,r2_prototype_energy,30.0,0,0.40102607011795044,0.0372467041015625
2,r2_prototype_energy,30.0,1,0.27734559774398804,0.04999196529388428
2,r2_prototype_energy,30.0,2,0.09671665728092194,0.04207497835159302
2,r2_prototype_energy,30.0,3,0.22491168975830078,0.021703124046325684
2,r2_prototype_energy,45.0,0,0.3448595404624939,0.0372467041015625
2,r2_prototype_energy,45.0,1,0.39486441016197205,0.04999196529388428
2,r2_prototype_energy,45.0,2,0.09655608236789703,0.04207497835159302
2,r2_prototype_energy,45.0,3,0.16371995210647583,0.021703124046325684
2,r2_prototype_energy,60.0,0,0.2708163261413574,0.0372467041015625
2,r2_prototype_energy,60.0,1,0.4721721112728119,0.04999196529388428
2,r2_prototype_energy,60.0,2,0.12545786798000336,0.04207497835159302
2,r2_prototype_energy,60.0,3,0.13155367970466614,0.021703124046325684
2,r2_prototype_energy,75.0,0,0.20212864875793457,0.0372467041015625
2,r2_prototype_energy,75.0,1,0.5052657723426819,0.04999196529388428
2,r2_prototype_energy,75.0,2,0.1842540204524994,0.04207497835159302
2,r2_prototype_energy,75.0,3,0.10835156589746475,0.021703124046325684
